"block_timestamp_date","total_txs","500_520_fee_per_byte","98_109_fee_per_byte","29_32_fee_per_byte","24_34_44_fee","317_453_fee","500_520_perc_fee_per_byte","98_109_perc_fee_per_byte","29_32_perc_fee_per_byte","24_34_44_perc_fee","317_453_perc_fee"
2022-11-20,14922,218,602,0,409,26,1.46093017021847,4.03431175445651,0,2.7409194477952,0.17423937809945
2022-11-21,17293,325,783,13,522,52,1.87937315676863,4.52784363615336,0.0751749262707454,3.01856242410224,0.300699705082982
2022-11-22,17496,254,705,0,414,45,1.45176040237769,4.02949245541838,0,2.36625514403292,0.257201646090535
2022-11-23,17679,282,765,6,512,24,1.59511284574919,4.32716782623452,0.0339385711861531,2.89609140788506,0.135754284744612
2022-11-24,14944,222,650,0,442,52,1.4855460385439,4.34957173447537,0,2.95770877944326,0.34796573875803
2022-11-25,14229,237,695,0,461,45,1.66561248155176,4.88439103239862,0,3.23986225314499,0.316255534471853
2022-11-26,12998,174,580,0,342,28,1.33866748730574,4.4622249576858,0,2.63117402677335,0.215417756577935
2022-11-27,14277,200,609,20,383,45,1.40085452125797,4.26560201723051,0.140085452125797,2.68263640820901,0.315192267283043
2022-11-28,16534,240,792,6,539,51,1.45155437280755,4.79012943026491,0.0362888593201887,3.25994919559695,0.308455304221604
2022-11-29,16923,297,708,2,540,42,1.75500797730899,4.18365538025173,0.0118182355374343,3.19092359510725,0.248182946286119
2022-11-30,15784,283,762,8,550,52,1.79295489102889,4.82767359351242,0.0506842372022301,3.48454130765332,0.329447541814496
2022-12-01,15142,242,765,0,612,36,1.59820367190596,5.0521727644961,0,4.04173821159688,0.237749306564523
2022-12-02,15304,247,770,0,433,39,1.61395713538944,5.03136434918975,0,2.82932566649242,0.254835337166754
2022-12-03,22160,207,611,1,416,42,0.934115523465704,2.7572202166065,0.00451263537906137,1.87725631768953,0.189530685920578
2022-12-04,22475,166,637,0,465,36,0.738598442714127,2.83426028921023,0,2.06896551724138,0.160177975528365
2022-12-05,28152,303,740,12,583,70,1.07630008525149,2.62858766695084,0.0426257459505541,2.07090082409776,0.248650184711566
2022-12-06,29162,307,803,16,503,72,1.05273986695014,2.75358343049174,0.0548659214045676,1.72484740415609,0.246896646320554
2022-12-07,27721,284,760,33,499,76,1.02449406587064,2.74160383824537,0.119043324555391,1.80007936221637,0.274160383824537
2022-12-08,26490,261,756,10,537,66,0.985277463193658,2.85390713476784,0.0377500943752359,2.02718006795017,0.249150622876557
2022-12-09,24030,198,718,2,479,49,0.823970037453184,2.9879317519767,0.00832292967124428,1.993341656263,0.203911776945485
2022-12-10,23097,168,621,0,460,32,0.727367190544227,2.68866086504741,0,1.99160064077586,0.138546131532234
2022-12-11,23185,205,649,0,461,52,0.88419236575372,2.79922363597153,0,1.988354539573,0.224282941557041
2022-12-12,25916,287,797,0,581,64,1.1074239851829,3.07532026547307,0,2.24185831146782,0.246951690075629
2022-12-13,23583,265,818,9,689,47,1.12369079421617,3.46860026290124,0.038163083577153,2.92159606496205,0.199296103125133
2022-12-14,19203,257,749,4,627,74,1.33833255220538,3.90043222413165,0.0208300786335468,3.26511482580847,0.385356454720617
2022-12-15,18989,256,688,0,569,60,1.34814892832693,3.62315024487861,0,2.99647164147664,0.315972405076623
2022-12-16,17900,261,747,13,554,49,1.45810055865922,4.1731843575419,0.0726256983240224,3.09497206703911,0.273743016759777
2022-12-17,14361,167,526,1,477,22,1.1628716663185,3.66269758373372,0.00696330339112875,3.32149571756841,0.153192674604833
2022-12-18,14710,191,572,0,498,32,1.29843643779742,3.88851121685928,0,3.38545207341944,0.217539089055065
2022-12-19,22845,222,656,0,531,40,0.971766250820749,2.87152549792077,0,2.32435981615233,0.175093018165901
2022-12-20,16596,245,746,0,586,49,1.4762593395999,4.49505905037358,0,3.53097131838997,0.295251867919981
2022-12-21,15985,237,673,1,570,41,1.48263997497654,4.21019705974351,0.00625586487331874,3.56584297779168,0.256490459806068
2022-12-22,13383,224,640,0,549,50,1.67376522453859,4.78218635582455,0,4.10221923335575,0.373608309048793
2022-12-23,13036,194,529,1,620,25,1.48818656029457,4.05799324946303,0.00767106474378644,4.75606014114759,0.191776618594661
2022-12-24,9568,165,426,1,477,12,1.7244983277592,4.45234113712375,0.0104515050167224,4.98536789297659,0.125418060200669
2022-12-25,10275,195,423,5,400,43,1.8978102189781,4.11678832116788,0.048661800486618,3.89294403892944,0.418491484184915
2022-12-26,13725,201,663,10,558,42,1.46448087431694,4.83060109289617,0.0728597449908925,4.0655737704918,0.306010928961749
2022-12-27,15827,241,731,4,474,45,1.52271434889745,4.6186895810956,0.0252732672016175,2.99488216339167,0.284324256018197
2022-12-28,15135,294,721,13,516,46,1.94251734390486,4.76379253386191,0.0858936240502147,3.40931615460852,0.30393128510076
2022-12-29,14136,246,724,3,460,39,1.7402376910017,5.12167515563101,0.0212224108658744,3.25410299943407,0.275891341256367
2022-12-30,13611,236,636,11,420,37,1.73389170523841,4.67269120564249,0.0808169862611123,3.08573947542429,0.271838953787378
2022-12-31,10411,146,497,1,362,17,1.40236288540966,4.77379694553837,0.00960522524253194,3.47709153779656,0.163288829123043
2023-01-01,9916,173,494,0,373,23,1.74465510286406,4.98184751916095,0,3.76159741831384,0.231948366276724
2023-01-02,16781,237,709,6,569,35,1.41231154281628,4.22501638758119,0.0357547226029438,3.39073952684584,0.208569215183839
2023-01-03,16992,215,688,0,512,39,1.26530131826742,4.04896421845574,0,3.01318267419962,0.229519774011299
2023-01-04,14916,285,683,1,482,41,1.91069991954948,4.57897559667471,0.00670421024403325,3.23142933762403,0.274872620005363
2023-01-05,14576,280,687,4,459,33,1.92096597145993,4.71322722283205,0.0274423710208562,3.14901207464325,0.226399560922064
2023-01-06,13946,229,725,7,488,35,1.64204789903915,5.19862326115015,0.0501936039007601,3.49921124336727,0.2509680195038
2023-01-07,12023,198,573,0,426,40,1.64684354986276,4.76586542460284,0,3.54320884970473,0.332695666638942
2023-01-08,12528,246,565,9,515,32,1.96360153256705,4.50989782886335,0.0718390804597701,4.11079182630907,0.255427841634738
2023-01-09,16650,313,770,5,621,50,1.87987987987988,4.62462462462462,0.03003003003003,3.72972972972973,0.3003003003003
2023-01-10,17480,316,838,3,616,50,1.80778032036613,4.79405034324943,0.017162471395881,3.52402745995423,0.28604118993135
