"block_timestamp_isoweek","total_txs","500_520_fee_per_byte","98_109_fee_per_byte","29_32_fee_per_byte","24_34_44_fee","317_453_fee","500_520_perc_fee_per_byte","98_109_perc_fee_per_byte","29_32_perc_fee_per_byte","24_34_44_perc_fee","317_453_perc_fee"
"2022-32",1557,0,0,0,0,0,0,0,0,0,0
"2022-33",172562,1,13,1,0,0,0.000579501860200971,0.00753352418261263,0.000579501860200971,0,0
"2022-34",122495,388,363,0,1233,77,0.316747622351933,0.29633862606637,0,1.00657169680395,0.062859708559533
"2022-35",112711,1328,2154,5,3274,290,1.17823459999468,1.91108232559378,0.00443612424696791,2.90477415691459,0.257295206324139
"2022-36",110323,1361,3906,13,2854,250,1.2336502814463,3.54051285769966,0.0117835809396046,2.58694923089474,0.226607325761627
"2022-37",111033,1306,4095,31,3071,247,1.17622688750191,3.68809272918862,0.0279196274981312,2.76584438860519,0.222456386839948
"2022-38",112205,1470,4185,13,3154,314,1.3101020453634,3.72978031282028,0.0115859364555947,2.81092642930351,0.279844926696671
"2022-39",110508,1549,4382,7,2827,339,1.40170847359467,3.96532377746408,0.00633438303109277,2.55818583269989,0.306765121077207
"2022-40",111658,1567,4510,18,3031,252,1.40339250210464,4.03911945404718,0.0161206541403213,2.71453903885078,0.225689157964499
"2022-41",117960,1522,4489,13,3114,265,1.29026788741946,3.80552729738895,0.0110206849779586,2.63987792472024,0.224652424550695
"2022-42",150069,1594,4566,19,2909,255,1.06217806475688,3.04260040381425,0.0126608426790343,1.93844165017425,0.169921835955461
"2022-43",170728,1587,4576,30,3130,316,0.929548755915843,2.68028677194133,0.0175718101307343,1.83332552363994,0.185089733377068
"2022-44",132104,1645,4714,18,3481,319,1.2452310300975,3.56840065403016,0.0136256282928602,2.63504511596924,0.241476412523466
"2022-45",122074,1599,4879,36,3327,316,1.30986123171191,3.99675606599276,0.029490309156741,2.72539607123548,0.258859380375838
"2022-46",115605,1750,4739,25,3307,268,1.51377535573721,4.09930366333636,0.0216253622248173,2.86060291509883,0.231823883050041
"2022-47",108916,1694,4787,39,3076,291,1.55532704102244,4.39513019207463,0.035807411215983,2.82419479231701,0.267178375996181
"2022-48",124322,1682,5045,17,3555,298,1.35293833754283,4.05801064976432,0.0136741686909799,2.85950998214314,0.239700133524235
"2022-49",181837,1726,5047,73,3522,417,0.949201757618087,2.77556272925752,0.0401458449050523,1.93689953089855,0.2293262647316
"2022-50",134662,1684,4897,27,3995,348,1.25053838499354,3.63651215636185,0.0200501997593976,2.96668696439976,0.258424796898902
"2022-51",101688,1482,4093,8,3733,260,1.45739910313901,4.02505703721186,0.00786720163637794,3.67103296357486,0.255684053182283
"2022-52",92761,1537,4466,42,3163,249,1.65694634598592,4.81452334494022,0.045277649011977,3.40983818630675,0.268431776285292
"2023-01",101762,1690,4630,27,3451,255,1.66073779996462,4.54983196084983,0.0265324973958845,3.39124624122954,0.250584697627798
"2023-02",107297,1812,5253,24,3882,313,1.6887704222858,4.89575663811663,0.0223678201627259,3.61799491132091,0.291713654622217
"2023-03",104297,1657,5079,29,3429,293,1.58873217829851,4.8697469725879,0.0278052101210965,3.28772639673241,0.280928502257975
"2023-04",106648,1854,5330,56,3483,260,1.7384292251144,4.99774960618108,0.0525091891080939,3.2658840297052,0.24379266371615
"2023-05",107972,1799,5427,102,3676,285,1.66617271144371,5.02630311562257,0.0944689363909162,3.40458637424517,0.263957322268736
"2023-06",96748,1751,4900,220,3345,326,1.80985653450201,5.06470417993137,0.227394881547939,3.45743581262662,0.336957869930128
"2023-07",99932,1930,5278,263,3352,299,1.93131329303927,5.2815914822079,0.263178961693952,3.35428091101949,0.299203458351679
"2023-08",97223,1936,5106,278,3160,313,1.99129835532744,5.25184369953612,0.2859405696183,3.25025971220802,0.321940281620604
"2023-09",103783,1869,5507,424,3301,318,1.80087297534278,5.30626403168149,0.408544752030679,3.18067506238979,0.30640856402301
"2023-10",103389,1774,5560,413,3449,378,1.71584984862993,5.37774811633733,0.399462225188366,3.33594482972076,0.3656094942402
"2023-11",113518,2073,5927,447,3564,369,1.82614210962138,5.2211984002537,0.39377015098927,3.13959019714935,0.325058581017988
"2023-12",130121,1994,5577,531,3449,343,1.53241982462477,4.28601071310549,0.408081708563568,2.65060981701647,0.263600802330139
"2023-13",143951,1964,5438,521,3582,370,1.36435314794618,3.77767434752103,0.361928711853339,2.48834672909532,0.257031906690471
